Dimension,Sub-Dimension,Score,COUNTRYAFF
Transition Readiness,Institutions and Governance,16.9302,Burkina Faso
Transition Readiness,Infrastructure and Business Environment,43.5865,Burkina Faso
Transition Readiness,Human Capital,32.5647,Burkina Faso
Transition Readiness,Power System Structure,10.1924,Burkina Faso
System Performance,Economic Development and Growth,46.7788,Burkina Faso
System Performance,Environmental Sustainability,78.4448,Burkina Faso
System Performance,Energy Access and Security,51.2429,Burkina Faso
Technology Specific Preparedness,Solar,,Burkina Faso
Technology Specific Preparedness,Wind Turbines,,Burkina Faso
Technology Specific Preparedness,Natural Gas Turbine Power,,Burkina Faso
Technology Specific Preparedness,Geothermal Power,,Burkina Faso
Technology Specific Preparedness,Nuclear Power,,Burkina Faso
Technology Specific Preparedness,Hydropower,,Burkina Faso
Technology Specific Preparedness,Biomass-based Power,,Burkina Faso
Technology Specific Preparedness,Hydrogen,4.5604,Burkina Faso
Technology Specific Preparedness,Carbon Capture and Storage,3.9353,Burkina Faso
Transition Readiness,Regulation and Political Commitment,83.8877,Burundi
Transition Readiness,Capital and Investment,45.1604,Burundi
Transition Readiness,Institutions and Governance,26.2583,Burundi
Transition Readiness,Infrastructure and Business Environment,38.2186,Burundi
Transition Readiness,Human Capital,29.1552,Burundi
Transition Readiness,Power System Structure,11.1431,Burundi
System Performance,Economic Development and Growth,44.6678,Burundi
System Performance,Environmental Sustainability,48.5755,Burundi
System Performance,Energy Access and Security,65.574,Burundi
Technology Specific Preparedness,Solar,,Burundi
Technology Specific Preparedness,Wind Turbines,,Burundi
Technology Specific Preparedness,Natural Gas Turbine Power,,Burundi
Technology Specific Preparedness,Geothermal Power,,Burundi
Technology Specific Preparedness,Nuclear Power,,Burundi
Technology Specific Preparedness,Hydropower,,Burundi
Technology Specific Preparedness,Biomass-based Power,,Burundi
Technology Specific Preparedness,Hydrogen,6.4971,Burundi
Technology Specific Preparedness,Carbon Capture and Storage,3.9276,Burundi
Transition Readiness,Regulation and Political Commitment,45.6672,Cabo Verde
Transition Readiness,Capital and Investment,52.7667,Cabo Verde
Transition Readiness,Institutions and Governance,12.0279,Cabo Verde
Transition Readiness,Infrastructure and Business Environment,27.2472,Cabo Verde
Transition Readiness,Human Capital,29.099,Cabo Verde
Transition Readiness,Power System Structure,17.5236,Cabo Verde
System Performance,Economic Development and Growth,64.7407,Cabo Verde
System Performance,Environmental Sustainability,68.6345,Cabo Verde
System Performance,Energy Access and Security,77.2947,Cabo Verde
Technology Specific Preparedness,Solar,,Cabo Verde
Technology Specific Preparedness,Wind Turbines,,Cabo Verde
Technology Specific Preparedness,Natural Gas Turbine Power,,Cabo Verde
Technology Specific Preparedness,Geothermal Power,,Cabo Verde
Technology Specific Preparedness,Nuclear Power,,Cabo Verde
Technology Specific Preparedness,Hydropower,,Cabo Verde
Technology Specific Preparedness,Biomass-based Power,,Cabo Verde
Technology Specific Preparedness,Hydrogen,3.2111,Cabo Verde
Technology Specific Preparedness,Carbon Capture and Storage,4.8997,Cabo Verde
Transition Readiness,Regulation and Political Commitment,55.7346,Cameroon
Transition Readiness,Capital and Investment,25.4961,Cameroon
Transition Readiness,Institutions and Governance,27.2376,Cameroon
Transition Readiness,Infrastructure and Business Environment,38.6179,Cameroon
Transition Readiness,Human Capital,12.9611,Cameroon
Transition Readiness,Power System Structure,8.519,Cameroon
System Performance,Economic Development and Growth,56.4616,Cameroon
System Performance,Environmental Sustainability,71.426,Cameroon
System Performance,Energy Access and Security,79.9948,Cameroon
Technology Specific Preparedness,Solar,,Cameroon
Technology Specific Preparedness,Wind Turbines,,Cameroon
Technology Specific Preparedness,Natural Gas Turbine Power,,Cameroon
Technology Specific Preparedness,Geothermal Power,,Cameroon
Technology Specific Preparedness,Nuclear Power,,Cameroon
Technology Specific Preparedness,Hydropower,,Cameroon
Technology Specific Preparedness,Biomass-based Power,,Cameroon
Technology Specific Preparedness,Hydrogen,3.3448,Cameroon
Technology Specific Preparedness,Carbon Capture and Storage,3.7612,Cameroon
Transition Readiness,Regulation and Political Commitment,92.2586,Central African Republic
Transition Readiness,Capital and Investment,23.1813,Central African Republic
Transition Readiness,Institutions and Governance,23.8088,Central African Republic
Transition Readiness,Infrastructure and Business Environment,32.503,Central African Republic
Transition Readiness,Human Capital,14.8061,Central African Republic
Transition Readiness,Power System Structure,17.8499,Central African Republic
System Performance,Economic Development and Growth,60.5885,Central African Republic
System Performance,Environmental Sustainability,48.1522,Central African Republic
System Performance,Energy Access and Security,61.3808,Central African Republic
Technology Specific Preparedness,Solar,,Central African Republic
Technology Specific Preparedness,Wind Turbines,,Central African Republic
Technology Specific Preparedness,Natural Gas Turbine Power,,Central African Republic
Technology Specific Preparedness,Geothermal Power,,Central African Republic
Technology Specific Preparedness,Nuclear Power,,Central African Republic
Technology Specific Preparedness,Hydropower,,Central African Republic
Technology Specific Preparedness,Biomass-based Power,,Central African Republic
Technology Specific Preparedness,Hydrogen,5.8224,Central African Republic
Technology Specific Preparedness,Carbon Capture and Storage,3.8483,Central African Republic
Transition Readiness,Regulation and Political Commitment,54.5657,Chad
Transition Readiness,Capital and Investment,25.0083,Chad
Transition Readiness,Institutions and Governance,21.4479,Chad
Transition Readiness,Infrastructure and Business Environment,27.6179,Chad
Transition Readiness,Human Capital,25.1071,Chad
Transition Readiness,Power System Structure,18.0585,Chad
System Performance,Economic Development and Growth,38.4659,Chad
System Performance,Environmental Sustainability,31.4499,Chad
System Performance,Energy Access and Security,51.1532,Chad
Technology Specific Preparedness,Solar,,Chad
Technology Specific Preparedness,Wind Turbines,,Chad
Technology Specific Preparedness,Natural Gas Turbine Power,,Chad
Technology Specific Preparedness,Geothermal Power,,Chad
Technology Specific Preparedness,Nuclear Power,,Chad
Technology Specific Preparedness,Hydropower,,Chad
Technology Specific Preparedness,Biomass-based Power,,Chad
Technology Specific Preparedness,Hydrogen,6.8422,Chad
Technology Specific Preparedness,Carbon Capture and Storage,8.3695,Chad
Transition Readiness,Regulation and Political Commitment,88.7907,Comoros
Transition Readiness,Capital and Investment,40.1738,Comoros
Transition Readiness,Institutions and Governance,16.0578,Comoros
Transition Readiness,Infrastructure and Business Environment,28.701,Comoros
Transition Readiness,Human Capital,14.6618,Comoros
Transition Readiness,Power System Structure,24.7084,Comoros
System Performance,Economic Development and Growth,73.6478,Comoros
System Performance,Environmental Sustainability,50.2211,Comoros
System Performance,Energy Access and Security,78.5354,Comoros
Technology Specific Preparedness,Solar,,Comoros
Technology Specific Preparedness,Wind Turbines,,Comoros
Technology Specific Preparedness,Natural Gas Turbine Power,,Comoros
Technology Specific Preparedness,Geothermal Power,,Comoros
Technology Specific Preparedness,Nuclear Power,,Comoros
Technology Specific Preparedness,Hydropower,,Comoros
Technology Specific Preparedness,Biomass-based Power,,Comoros
Technology Specific Preparedness,Hydrogen,7.9616,Comoros
Technology Specific Preparedness,Carbon Capture and Storage,7.0806,Comoros
Transition Readiness,Regulation and Political Commitment,62.8021,Congo (Brazzaville)
Transition Readiness,Capital and Investment,50.2864,Congo (Brazzaville)
Transition Readiness,Institutions and Governance,12.7273,Congo (Brazzaville)
Transition Readiness,Infrastructure and Business Environment,37.3312,Congo (Brazzaville)
Transition Readiness,Human Capital,21.8057,Congo (Brazzaville)
Transition Readiness,Power System Structure,23.709,Congo (Brazzaville)
System Performance,Economic Development and Growth,71.6457,Congo (Brazzaville)
System Performance,Environmental Sustainability,33.007,Congo (Brazzaville)
System Performance,Energy Access and Security,63.8524,Congo (Brazzaville)
Technology Specific Preparedness,Solar,,Congo (Brazzaville)
Technology Specific Preparedness,Wind Turbines,,Congo (Brazzaville)
Technology Specific Preparedness,Natural Gas Turbine Power,,Congo (Brazzaville)
Technology Specific Preparedness,Geothermal Power,,Congo (Brazzaville)
Technology Specific Preparedness,Nuclear Power,,Congo (Brazzaville)
Technology Specific Preparedness,Hydropower,,Congo (Brazzaville)
Technology Specific Preparedness,Biomass-based Power,,Congo (Brazzaville)
Technology Specific Preparedness,Hydrogen,4.3822,Congo (Brazzaville)
Technology Specific Preparedness,Carbon Capture and Storage,8.2451,Congo (Brazzaville)
Transition Readiness,Regulation and Political Commitment,78.2291,Congo (Kinshasa)
Transition Readiness,Capital and Investment,53.4941,Congo (Kinshasa)
Transition Readiness,Institutions and Governance,25.5088,Congo (Kinshasa)
Transition Readiness,Infrastructure and Business Environment,43.9042,Congo (Kinshasa)
Transition Readiness,Human Capital,20.316,Congo (Kinshasa)
Transition Readiness,Power System Structure,11.8694,Congo (Kinshasa)
System Performance,Economic Development and Growth,60.7996,Congo (Kinshasa)
System Performance,Environmental Sustainability,47.1137,Congo (Kinshasa)
System Performance,Energy Access and Security,55.2986,Congo (Kinshasa)
Technology Specific Preparedness,Solar,,Congo (Kinshasa)
Technology Specific Preparedness,Wind Turbines,,Congo (Kinshasa)
Technology Specific Preparedness,Natural Gas Turbine Power,,Congo (Kinshasa)
Technology Specific Preparedness,Geothermal Power,,Congo (Kinshasa)
Technology Specific Preparedness,Nuclear Power,,Congo (Kinshasa)
Technology Specific Preparedness,Hydropower,,Congo (Kinshasa)
Technology Specific Preparedness,Biomass-based Power,,Congo (Kinshasa)
Technology Specific Preparedness,Hydrogen,8.2176,Congo (Kinshasa)
Technology Specific Preparedness,Carbon Capture and Storage,4.6334,Congo (Kinshasa)
Transition Readiness,Regulation and Political Commitment,62.154,Côte d'Ivoire
Transition Readiness,Capital and Investment,43.6605,Côte d'Ivoire
Transition Readiness,Institutions and Governance,13.0694,Côte d'Ivoire
Transition Readiness,Infrastructure and Business Environment,17.6134,Côte d'Ivoire
Transition Readiness,Human Capital,18.4314,Côte d'Ivoire
Transition Readiness,Power System Structure,22.7766,Côte d'Ivoire
System Performance,Economic Development and Growth,62.9294,Côte d'Ivoire
System Performance,Environmental Sustainability,52.4504,Côte d'Ivoire
System Performance,Energy Access and Security,58.5809,Côte d'Ivoire
Technology Specific Preparedness,Solar,,Côte d'Ivoire
Technology Specific Preparedness,Wind Turbines,,Côte d'Ivoire
Technology Specific Preparedness,Natural Gas Turbine Power,,Côte d'Ivoire
Technology Specific Preparedness,Geothermal Power,,Côte d'Ivoire
Technology Specific Preparedness,Nuclear Power,,Côte d'Ivoire
Technology Specific Preparedness,Hydropower,,Côte d'Ivoire
Technology Specific Preparedness,Biomass-based Power,,Côte d'Ivoire
Technology Specific Preparedness,Hydrogen,5.1996,Côte d'Ivoire
Technology Specific Preparedness,Carbon Capture and Storage,6.9205,Côte d'Ivoire
Transition Readiness,Regulation and Political Commitment,81.0267,Djibouti
Transition Readiness,Capital and Investment,62.3418,Djibouti
Transition Readiness,Institutions and Governance,18.338,Djibouti
Transition Readiness,Infrastructure and Business Environment,38.0732,Djibouti
Transition Readiness,Human Capital,16.0801,Djibouti
Transition Readiness,Power System Structure,19.2622,Djibouti
System Performance,Economic Development and Growth,48.311,Djibouti
System Performance,Environmental Sustainability,69.2641,Djibouti
System Performance,Energy Access and Security,51.1938,Djibouti
Technology Specific Preparedness,Solar,,Djibouti
Technology Specific Preparedness,Wind Turbines,,Djibouti
Technology Specific Preparedness,Natural Gas Turbine Power,,Djibouti
Technology Specific Preparedness,Geothermal Power,,Djibouti
Technology Specific Preparedness,Nuclear Power,,Djibouti
Technology Specific Preparedness,Hydropower,,Djibouti
Technology Specific Preparedness,Biomass-based Power,,Djibouti
Technology Specific Preparedness,Hydrogen,5.4005,Djibouti
Technology Specific Preparedness,Carbon Capture and Storage,3.3614,Djibouti
Transition Readiness,Regulation and Political Commitment,107.736,Egypt
Transition Readiness,Capital and Investment,43.2044,Egypt
Transition Readiness,Institutions and Governance,30.1069,Egypt
Transition Readiness,Infrastructure and Business Environment,31.0411,Egypt
Transition Readiness,Human Capital,17.0819,Egypt
Transition Readiness,Power System Structure,16.5231,Egypt
System Performance,Economic Development and Growth,42.5005,Egypt
System Performance,Environmental Sustainability,76.6616,Egypt
System Performance,Energy Access and Security,33.6957,Egypt
Technology Specific Preparedness,Solar,,Egypt
Technology Specific Preparedness,Wind Turbines,,Egypt
Technology Specific Preparedness,Natural Gas Turbine Power,,Egypt
Technology Specific Preparedness,Geothermal Power,,Egypt
Technology Specific Preparedness,Nuclear Power,,Egypt
Technology Specific Preparedness,Hydropower,,Egypt
Technology Specific Preparedness,Biomass-based Power,,Egypt
Technology Specific Preparedness,Hydrogen,6.6755,Egypt
Technology Specific Preparedness,Carbon Capture and Storage,6.5714,Egypt
Transition Readiness,Regulation and Political Commitment,80.05,Equatorial Guinea
Transition Readiness,Capital and Investment,40.9705,Equatorial Guinea
Transition Readiness,Institutions and Governance,16.4201,Equatorial Guinea
Transition Readiness,Infrastructure and Business Environment,15.7384,Equatorial Guinea
Transition Readiness,Human Capital,17.3829,Equatorial Guinea
Transition Readiness,Power System Structure,15.4834,Equatorial Guinea
System Performance,Economic Development and Growth,49.2607,Equatorial Guinea
System Performance,Environmental Sustainability,56.0908,Equatorial Guinea
System Performance,Energy Access and Security,29.6482,Equatorial Guinea
Technology Specific Preparedness,Solar,,Equatorial Guinea
Technology Specific Preparedness,Wind Turbines,,Equatorial Guinea
Technology Specific Preparedness,Natural Gas Turbine Power,,Equatorial Guinea
Technology Specific Preparedness,Geothermal Power,,Equatorial Guinea
Technology Specific Preparedness,Nuclear Power,,Equatorial Guinea
Technology Specific Preparedness,Hydropower,,Equatorial Guinea
Technology Specific Preparedness,Biomass-based Power,,Equatorial Guinea
Technology Specific Preparedness,Hydrogen,7.4092,Equatorial Guinea
Technology Specific Preparedness,Carbon Capture and Storage,5.5497,Equatorial Guinea
Transition Readiness,Regulation and Political Commitment,54.9315,Eritrea
Transition Readiness,Capital and Investment,42.865,Eritrea
Transition Readiness,Institutions and Governance,17.6746,Eritrea
Transition Readiness,Infrastructure and Business Environment,28.2544,Eritrea
Transition Readiness,Human Capital,17.865,Eritrea
Transition Readiness,Power System Structure,12.8662,Eritrea
System Performance,Economic Development and Growth,65.0561,Eritrea
System Performance,Environmental Sustainability,54.9762,Eritrea
System Performance,Energy Access and Security,30.1925,Eritrea
Technology Specific Preparedness,Solar,,Eritrea
Technology Specific Preparedness,Wind Turbines,,Eritrea
Technology Specific Preparedness,Natural Gas Turbine Power,,Eritrea
Technology Specific Preparedness,Geothermal Power,,Eritrea
Technology Specific Preparedness,Nuclear Power,,Eritrea
Technology Specific Preparedness,Hydropower,,Eritrea
Technology Specific Preparedness,Biomass-based Power,,Eritrea
Technology Specific Preparedness,Hydrogen,8.8541,Eritrea
Technology Specific Preparedness,Carbon Capture and Storage,6.08,Eritrea
Transition Readiness,Regulation and Political Commitment,54.8968,Eswatini
Transition Readiness,Capital and Investment,36.3034,Eswatini
Transition Readiness,Institutions and Governance,15.3616,Eswatini
Transition Readiness,Infrastructure and Business Environment,24.5735,Eswatini
Transition Readiness,Human Capital,13.7861,Eswatini
Transition Readiness,Power System Structure,16.6881,Eswatini
System Performance,Economic Development and Growth,38.6186,Eswatini
System Performance,Environmental Sustainability,68.5974,Eswatini
System Performance,Energy Access and Security,86.0836,Eswatini
Technology Specific Preparedness,Solar,,Eswatini
Technology Specific Preparedness,Wind Turbines,,Eswatini
Technology Specific Preparedness,Natural Gas Turbine Power,,Eswatini
Technology Specific Preparedness,Geothermal Power,,Eswatini
Technology Specific Preparedness,Nuclear Power,,Eswatini
Technology Specific Preparedness,Hydropower,,Eswatini
Technology Specific Preparedness,Biomass-based Power,,Eswatini
Technology Specific Preparedness,Hydrogen,3.3552,Eswatini
Technology Specific Preparedness,Carbon Capture and Storage,8.2464,Eswatini
Transition Readiness,Regulation and Political Commitment,121.2385,Ethiopia
Transition Readiness,Capital and Investment,46.3917,Ethiopia
Transition Readiness,Institutions and Governance,29.4511,Ethiopia
Transition Readiness,Infrastructure and Business Environment,22.6386,Ethiopia
Transition Readiness,Human Capital,19.1315,Ethiopia
Transition Readiness,Power System Structure,18.1412,Ethiopia
System Performance,Economic Development and Growth,32.4797,Ethiopia
System Performance,Environmental Sustainability,37.1294,Ethiopia
System Performance,Energy Access and Security,57.7682,Ethiopia
Technology Specific Preparedness,Solar,,Ethiopia
Technology Specific Preparedness,Wind Turbines,,Ethiopia
Technology Specific Preparedness,Natural Gas Turbine Power,,Ethiopia
Technology Specific Preparedness,Geothermal Power,,Ethiopia
Technology Specific Preparedness,Nuclear Power,,Ethiopia
Technology Specific Preparedness,Hydropower,,Ethiopia
Technology Specific Preparedness,Biomass-based Power,,Ethiopia
Technology Specific Preparedness,Hydrogen,5.7379,Ethiopia
Technology Specific Preparedness,Carbon Capture and Storage,4.9814,Ethiopia
Transition Readiness,Regulation and Political Commitment,69.6218,Gabon
Transition Readiness,Capital and Investment,37.3998,Gabon
Transition Readiness,Institutions and Governance,27.3417,Gabon
Transition Readiness,Infrastructure and Business Environment,32.4021,Gabon
Transition Readiness,Human Capital,17.7721,Gabon
Transition Readiness,Power System Structure,8.6748,Gabon
System Performance,Economic Development and Growth,45.5534,Gabon
System Performance,Environmental Sustainability,63.4001,Gabon
System Performance,Energy Access and Security,41.8629,Gabon
Technology Specific Preparedness,Solar,,Gabon
Technology Specific Preparedness,Wind Turbines,,Gabon
Technology Specific Preparedness,Natural Gas Turbine Power,,Gabon
Technology Specific Preparedness,Geothermal Power,,Gabon
Technology Specific Preparedness,Nuclear Power,,Gabon
Technology Specific Preparedness,Hydropower,,Gabon
Technology Specific Preparedness,Biomass-based Power,,Gabon
Technology Specific Preparedness,Hydrogen,4.6472,Gabon
Technology Specific Preparedness,Carbon Capture and Storage,6.8432,Gabon
Transition Readiness,Regulation and Political Commitment,117.418,Gambia
Transition Readiness,Capital and Investment,34.1354,Gambia
Transition Readiness,Institutions and Governance,29.2119,Gambia
Transition Readiness,Infrastructure and Business Environment,25.5477,Gambia
Transition Readiness,Human Capital,21.1857,Gambia
Transition Readiness,Power System Structure,18.5785,Gambia
System Performance,Economic Development and Growth,54.7378,Gambia
System Performance,Environmental Sustainability,63.5147,Gambia
System Performance,Energy Access and Security,71.4363,Gambia
Technology Specific Preparedness,Solar,,Gambia
Technology Specific Preparedness,Wind Turbines,,Gambia
Technology Specific Preparedness,Natural Gas Turbine Power,,Gambia
Technology Specific Preparedness,Geothermal Power,,Gambia
Technology Specific Preparedness,Nuclear Power,,Gambia
Technology Specific Preparedness,Hydropower,,Gambia
Technology Specific Preparedness,Biomass-based Power,,Gambia
Technology Specific Preparedness,Hydrogen,6.1824,Gambia
Technology Specific Preparedness,Carbon Capture and Storage,6.2412,Gambia
Transition Readiness,Regulation and Political Commitment,105.6973,Ghana
Transition Readiness,Capital and Investment,43.955,Ghana
Transition Readiness,Institutions and Governance,22.9267,Ghana
Transition Readiness,Infrastructure and Business Environment,38.257,Ghana
Transition Readiness,Human Capital,12.8398,Ghana
Transition Readiness,Power System Structure,18.2473,Ghana
System Performance,Economic Development and Growth,50.0629,Ghana
System Performance,Environmental Sustainability,32.566,Ghana
System Performance,Energy Access and Security,68.7652,Ghana
Technology Specific Preparedness,Solar,,Ghana
Technology Specific Preparedness,Wind Turbines,,Ghana
Technology Specific Preparedness,Natural Gas Turbine Power,,Ghana
Technology Specific Preparedness,Geothermal Power,,Ghana
Technology Specific Preparedness,Nuclear Power,,Ghana
Technology Specific Preparedness,Hydropower,,Ghana
Technology Specific Preparedness,Biomass-based Power,,Ghana
Technology Specific Preparedness,Hydrogen,6.8503,Ghana
Technology Specific Preparedness,Carbon Capture and Storage,3.957,Ghana
Transition Readiness,Regulation and Political Commitment,87.2258,Guinea
Transition Readiness,Capital and Investment,28.6369,Guinea
Transition Readiness,Institutions and Governance,16.4848,Guinea
Transition Readiness,Infrastructure and Business Environment,32.7013,Guinea
Transition Readiness,Human Capital,29.942,Guinea
Transition Readiness,Power System Structure,11.3264,Guinea
System Performance,Economic Development and Growth,63.7633,Guinea
System Performance,Environmental Sustainability,64.0417,Guinea
System Performance,Energy Access and Security,75.375,Guinea
Technology Specific Preparedness,Solar,,Guinea
Technology Specific Preparedness,Wind Turbines,,Guinea
Technology Specific Preparedness,Natural Gas Turbine Power,,Guinea
Technology Specific Preparedness,Geothermal Power,,Guinea
Technology Specific Preparedness,Nuclear Power,,Guinea
Technology Specific Preparedness,Hydropower,,Guinea
Technology Specific Preparedness,Biomass-based Power,,Guinea
Technology Specific Preparedness,Hydrogen,5.4799,Guinea
Technology Specific Preparedness,Carbon Capture and Storage,7.4596,Guinea
Transition Readiness,Regulation and Political Commitment,81.6165,Guinea-Bissau
Transition Readiness,Capital and Investment,53.9036,Guinea-Bissau
Transition Readiness,Institutions and Governance,19.2474,Guinea-Bissau
Transition Readiness,Infrastructure and Business Environment,36.1109,Guinea-Bissau
Transition Readiness,Human Capital,15.8422,Guinea-Bissau
Transition Readiness,Power System Structure,14.854,Guinea-Bissau
System Performance,Economic Development and Growth,33.2092,Guinea-Bissau
System Performance,Environmental Sustainability,36.8369,Guinea-Bissau
System Performance,Energy Access and Security,59.7994,Guinea-Bissau
Technology Specific Preparedness,Solar,,Guinea-Bissau
Technology Specific Preparedness,Wind Turbines,,Guinea-Bissau
Technology Specific Preparedness,Natural Gas Turbine Power,,Guinea-Bissau
Technology Specific Preparedness,Geothermal Power,,Guinea-Bissau
Technology Specific Preparedness,Nuclear Power,,Guinea-Bissau
Technology Specific Preparedness,Hydropower,,Guinea-Bissau
Technology Specific Preparedness,Biomass-based Power,,Guinea-Bissau
Technology Specific Preparedness,Hydrogen,3.0993,Guinea-Bissau
Technology Specific Preparedness,Carbon Capture and Storage,6.3589,Guinea-Bissau
Transition Readiness,Regulation and Political Commitment,85.9252,Kenya
Transition Readiness,Capital and Investment,61.5517,Kenya
Transition Readiness,Institutions and Governance,24.0163,Kenya
Transition Readiness,Infrastructure and Business Environment,31.6486,Kenya
Transition Readiness,Human Capital,25.1733,Kenya
Transition Readiness,Power System Structure,17.8427,Kenya
System Performance,Economic Development and Growth,37.4606,Kenya
System Performance,Environmental Sustainability,59.0763,Kenya
System Performance,Energy Access and Security,73.3843,Kenya
Technology Specific Preparedness,Solar,,Kenya
Technology Specific Preparedness,Wind Turbines,,Kenya
Technology Specific Preparedness,Natural Gas Turbine Power,,Kenya
Technology Specific Preparedness,Geothermal Power,,Kenya
Technology Specific Preparedness,Nuclear Power,,Kenya
Technology Specific Preparedness,Hydropower,,Kenya
Technology Specific Preparedness,Biomass-based Power,,Kenya
Technology Specific Preparedness,Hydrogen,5.4731,Kenya
Technology Specific Preparedness,Carbon Capture and Storage,4.0544,Kenya
Transition Readiness,Regulation and Political Commitment,43.5177,Lesotho
Transition Readiness,Capital and Investment,59.0663,Lesotho
Transition Readiness,Institutions and Governance,13.2991,Lesotho
Transition Readiness,Infrastructure and Business Environment,18.3071,Lesotho
Transition Readiness,Human Capital,17.0961,Lesotho
Transition Readiness,Power System Structure,9.1678,Lesotho
System Performance,Economic Development and Growth,56.7279,Lesotho
System Performance,Environmental Sustainability,73.3887,Lesotho
System Performance,Energy Access and Security,79.2297,Lesotho
Technology Specific Preparedness,Solar,,Lesotho
Technology Specific Preparedness,Wind Turbines,,Lesotho
Technology Specific Preparedness,Natural Gas Turbine Power,,Lesotho
Technology Specific Preparedness,Geothermal Power,,Lesotho
Technology Specific Preparedness,Nuclear Power,,Lesotho
Technology Specific Preparedness,Hydropower,,Lesotho
Technology Specific Preparedness,Biomass-based Power,,Lesotho
Technology Specific Preparedness,Hydrogen,8.3528,Lesotho
Technology Specific Preparedness,Carbon Capture and Storage,4.1752,Lesotho
Transition Readiness,Regulation and Political Commitment,86.868,Liberia
Transition Readiness,Capital and Investment,25.5393,Liberia
Transition Readiness,Institutions and Governance,10.7947,Liberia
Transition Readiness,Infrastructure and Business Environment,32.8688,Liberia
Transition Readiness,Human Capital,29.8873,Liberia
Transition Readiness,Power System Structure,22.0603,Liberia
System Performance,Economic Development and Growth,50.9246,Liberia
